step,mouse_x,mouse_y,cat_x,cat_y,vision_slice,brain_energy,output_energy,output_action,move_dist
158,55,29,0,0,2,7,1,2,1
159,50,29,0,0,1,7,1,1,1
160,55,31,0,0,1,7,1,1,1
161,53,35,0,0,1,7,1,1,1
162,48,33,0,0,0,8,0,0,0
163,44,35,0,0,1,8,1,1,1
164,45,31,0,0,1,8,1,1,1
165,41,28,0,0,1,8,1,1,1
166,36,29,0,0,1,8,1,1,1
167,31,29,0,0,1,8,1,1,1
168,26,27,0,0,1,8,1,1,1
169,25,32,0,0,1,8,1,1,1
170,21,35,0,0,0,9,0,0,0
171,16,36,0,0,1,7,1,1,1
172,12,38,0,0,1,7,1,1,1
173,13,33,0,0,1,7,1,1,1
174,18,34,0,0,1,7,1,1,1
175,20,29,0,0,1,7,1,1,1
176,22,34,0,0,1,7,1,1,1
177,20,29,0,0,1,6,2,1,1
178,20,24,0,0,1,5,2,1,1
179,25,25,0,0,0,6,0,0,0
180,30,24,0,0,0,7,0,0,0
181,35,23,0,0,1,7,1,1,1
182,30,24,0,0,1,7,1,1,1
183,30,29,0,0,1,7,1,1,1
184,35,30,0,0,1,6,1,1,1
185,31,27,5,0,3,6,1,3,1
186,35,23,0,0,1,5,1,1,1
187,31,21,0,0,0,6,0,0,0
188,26,22,0,0,0,7,0,0,0
189,27,27,0,0,0,8,0,0,0
190,23,30,0,0,1,8,1,1,1
191,25,34,0,0,1,7,2,1,1
192,27,29,0,0,1,6,2,1,1
193,22,29,0,0,1,6,1,1,1
194,19,33,0,0,1,6,1,1,1
195,19,28,0,0,1,6,1,1,1
196,18,24,0,0,0,6,0,0,0
197,22,25,0,0,1,6,1,1,1
198,17,24,0,0,0,7,0,0,0
199,22,26,0,0,1,6,2,1,2
200,27,24,0,0,1,6,1,1,1
201,24,28,0,0,1,6,1,1,1
202,25,23,0,0,0,7,0,0,0
203,21,21,0,0,1,7,1,1,1
204,26,21,5,0,3,7,1,3,1
205,26,16,0,0,1,6,2,1,2
206,22,14,0,0,1,6,1,1,1
207,18,11,0,0,0,7,0,0,0
208,13,12,0,0,1,6,1,1,1
209,16,16,0,0,1,5,2,1,2
210,18,12,0,0,0,6,0,0,0
211,15,16,0,0,1,6,1,1,1
212,17,20,0,0,1,6,1,1,1
213,18,25,0,0,1,5,1,1,1
214,15,29,0,0,0,6,0,0,0
215,12,25,0,0,1,5,2,1,2
216,16,28,0,0,1,5,1,1,1
217,12,25,0,0,1,5,1,1,1
218,10,30,0,0,1,5,1,1,1
219,6,33,0,0,1,5,1,1,1
220,2,36,0,0,1,5,1,1,1
221,99,32,0,0,1,5,1,1,1
222,98,27,0,0,1,5,1,1,1
223,94,25,0,0,1,5,1,1,1
224,97,29,0,0,1,5,1,1,1
225,92,27,0,0,1,5,1,1,1
226,90,22,0,0,0,6,0,0,0
227,86,26,0,0,1,6,1,1,1
228,81,26,0,0,1,6,1,1,1
229,77,27,0,0,1,6,1,1,1
230,74,23,0,0,1,6,1,1,1
231,75,28,0,0,1,6,1,1,1
232,80,30,0,0,1,6,1,1,1
233,84,33,0,0,1,6,1,1,1
234,82,38,0,0,1,5,2,1,2
235,81,43,0,0,0,6,0,0,0
236,83,48,0,0,1,6,1,1,1
237,87,45,0,0,0,7,0,0,0
238,87,50,0,0,1,7,1,1,1
239,92,49,0,0,1,7,1,1,1
240,88,51,0,0,0,8,0,0,0
241,92,48,0,0,1,7,2,1,1
242,90,44,0,0,0,8,0,0,0
243,87,40,0,0,1,8,1,1,1
244,91,37,0,0,1,8,1,1,1
245,89,41,0,0,1,8,1,1,1
246,89,36,0,0,1,8,1,1,1
247,84,36,0,0,1,7,2,1,2
248,82,40,0,0,1,6,2,1,1
249,78,44,0,0,1,6,1,1,1
250,76,39,0,0,1,6,1,1,1
251,71,38,0,0,1,6,1,1,1
252,66,39,0,0,1,6,1,1,1
253,71,40,0,0,0,7,0,0,0
254,71,35,0,0,1,7,1,1,1
255,67,32,0,0,1,7,1,1,1
256,72,32,0,0,1,6,2,1,2
257,67,29,0,0,1,6,1,1,1
258,72,29,0,0,1,6,1,1,1
259,67,30,0,0,0,7,0,0,0
260,66,35,0,0,0,8,0,0,0
261,67,40,0,0,1,8,1,1,1
262,69,35,0,0,1,8,1,1,1
263,66,32,0,0,1,7,2,1,2
264,62,36,0,0,1,7,1,1,1
265,63,31,0,0,1,6,2,1,2
266,60,26,0,0,1,6,1,1,1
267,57,22,0,0,1,6,1,1,1
268,62,22,0,0,1,6,1,1,1
269,65,18,0,0,1,6,1,1,1
270,62,13,0,0,1,6,1,1,1
271,57,13,0,0,1,6,1,1,1
272,62,11,0,0,1,6,1,1,1
273,62,6,0,0,1,6,1,1,1
274,57,8,0,0,1,6,1,1,1
275,54,12,0,0,0,7,0,0,0
276,57,8,0,0,1,7,1,1,1
277,54,5,0,0,1,6,2,1,2
278,58,7,0,0,1,6,1,1,1
279,63,8,0,0,1,6,1,1,1
280,65,4,0,0,1,6,1,1,1
281,68,7,0,0,1,6,1,1,1
282,73,8,0,0,1,6,1,1,1
283,69,6,0,0,1,5,2,1,1
284,64,5,0,0,1,5,1,1,1
285,62,10,0,0,1,5,1,1,1
286,63,14,0,0,0,6,0,0,0
287,68,15,0,0,1,6,1,1,1
288,71,11,0,0,1,6,1,1,1
289,66,9,0,0,1,6,1,1,1
290,63,5,0,0,0,7,0,0,0
291,66,2,0,0,1,7,1,1,1
292,70,5,0,0,1,6,2,1,1
293,75,4,0,0,2,6,1,2,1
294,75,99,0,0,0,7,0,0,0
295,77,4,0,0,1,7,1,1,1
296,81,2,0,0,1,7,1,1,1
297,84,98,0,0,1,7,1,1,1
298,81,94,0,0,1,6,2,1,1
299,86,95,0,0,1,5,1,1,1
300,86,0,0,0,0,6,0,0,0
301,89,4,0,0,0,7,0,0,0
302,84,3,0,0,1,7,1,1,1
303,88,6,0,0,1,7,1,1,1
304,83,4,0,0,1,7,1,1,1
305,78,4,0,0,1,7,1,1,1
306,82,0,0,0,0,8,0,0,0
307,85,97,0,0,1,8,1,1,1
308,90,97,0,0,1,7,2,1,2
309,90,2,0,0,1,7,1,1,1
310,86,1,0,0,1,7,1,1,1
311,87,96,5,0,5,7,1,5,1
312,89,92,0,0,1,7,1,1,1
313,92,87,0,0,1,7,1,1,1
314,89,84,0,0,1,7,1,1,1
315,91,79,0,0,1,7,1,1,1
316,91,84,0,0,0,8,0,0,0
317,93,80,0,0,1,8,1,1,1
318,97,83,0,0,1,8,1,1,1
319,92,84,0,0,1,8,1,1,1
320,97,84,0,0,1,8,1,1,1
321,96,79,0,0,1,8,1,1,1
322,1,79,0,0,1,8,1,1,1
323,96,81,0,0,1,8,1,1,1
324,98,76,0,0,1,8,1,1,1
325,2,80,0,0,1,8,1,1,1
326,1,84,0,0,1,8,1,1,1
327,3,80,0,5,7,8,1,7,1
328,99,83,0,0,1,8,1,1,1
329,97,88,0,0,1,8,1,1,1
330,100,84,5,5,8,8,1,8,1
331,4,86,5,5,0,9,0,0,0
332,7,82,0,0,1,8,2,1,1
333,5,78,0,0,1,8,1,1,1
334,0,78,0,0,1,8,1,1,1
335,5,77,0,0,2,8,1,2,1
336,10,79,0,0,1,8,1,1,1
337,7,75,0,0,1,8,1,1,1
338,3,77,0,0,1,8,1,1,1
339,4,81,0,0,1,8,1,1,1
340,9,83,0,0,1,7,2,1,1
341,7,88,0,0,0,8,0,0,0
342,11,91,0,0,1,8,1,1,1
343,16,91,0,0,1,8,1,1,1
344,19,95,0,0,1,7,2,1,1
345,15,93,0,0,1,6,2,1,1
346,14,88,0,0,1,6,1,1,1
347,14,83,0,0,1,5,2,1,1
348,17,79,0,0,1,5,1,1,1
349,19,74,0,0,1,5,1,1,1
350,14,76,0,0,1,5,1,1,1
351,18,79,0,0,0,6,0,0,0
352,18,84,0,0,1,6,1,1,1
353,23,83,0,0,1,6,1,1,1
354,19,81,0,0,0,7,0,0,0
355,23,80,0,0,1,7,1,1,1
356,20,83,0,0,1,6,2,1,1
357,24,81,0,0,1,6,1,1,1
358,29,83,0,0,1,6,1,1,1
359,29,78,0,0,1,6,1,1,1
360,25,81,0,0,1,5,2,1,1
361,28,84,0,0,1,5,1,1,1
362,31,88,0,0,1,5,1,1,1
363,36,86,0,0,1,5,1,1,1
364,33,81,0,0,1,5,1,1,1
365,34,86,0,0,1,5,1,1,1
366,39,88,0,0,1,5,1,1,1
367,43,91,0,0,0,6,0,0,0
368,38,90,0,0,0,7,0,0,0
369,42,94,5,0,3,7,1,3,1
370,47,92,0,0,1,6,2,1,1
371,42,92,0,0,1,5,2,1,1
372,39,96,0,0,0,6,0,0,0
373,36,0,0,0,1,6,1,1,1
374,40,4,0,0,1,6,1,1,1
375,36,6,0,0,1,6,1,1,1
376,31,6,0,0,1,6,1,1,1
377,26,7,0,0,2,6,1,2,1
378,22,11,0,0,2,6,1,2,1
379,18,8,0,0,0,7,0,0,0
380,22,11,0,0,1,7,1,1,1
381,17,12,0,0,1,6,2,1,1
382,13,15,0,0,1,6,1,1,1
383,17,18,0,0,1,6,1,1,1
384,19,13,0,0,1,6,1,1,1
385,18,18,0,0,1,6,1,1,1
386,17,23,0,0,1,6,1,1,1
387,21,20,0,0,1,6,1,1,1
388,20,15,0,0,1,6,1,1,1
389,23,19,0,0,0,7,0,0,0
390,18,20,0,0,1,7,1,1,1
391,22,17,0,0,1,7,1,1,1
392,26,15,0,0,1,7,1,1,1
393,30,12,0,0,1,7,1,1,1
394,31,7,0,0,1,7,1,1,1
395,29,11,0,0,1,7,1,1,1
396,27,7,0,0,1,7,1,1,1
397,30,11,0,0,1,7,1,1,1
398,27,15,0,0,1,7,1,1,1
399,23,18,0,0,1,7,1,1,1
400,19,16,0,0,1,7,1,1,1
401,22,20,0,0,1,7,1,1,1
402,23,15,0,0,1,6,2,1,1
403,19,12,0,0,1,6,1,1,1
404,22,16,0,0,1,6,1,1,1
405,27,14,0,0,1,6,1,1,1
406,22,15,0,0,1,6,1,1,1
407,21,20,0,0,1,6,1,1,1
408,20,15,0,0,1,5,2,1,1
409,16,12,0,0,0,6,0,0,0
410,11,13,0,0,1,6,1,1,1
