bar,mouse_x,mouse_y,cat_x,cat_y,vision_slice,brain_energy,output_energy,output_action,move_dist
1,50,50,29,29,0,1,0,0,0
2,50,50,24,24,1,0,2,1,1
3,50,50,24,24,0,1,0,0,0
4,50,50,24,19,2,1,1,2,1
5,50,50,14,19,4,0,2,4,2
6,50,50,9,14,1,0,1,1,1
7,50,50,14,14,5,0,1,5,1
8,50,50,14,9,2,0,1,2,1
9,50,50,9,9,4,0,1,4,1
10,50,50,14,9,5,0,1,5,1
11,50,50,9,9,4,0,1,4,1
12,50,50,4,4,1,0,1,1,1
13,50,50,9,4,5,0,1,5,1
14,50,50,4,4,4,0,1,4,1
15,50,50,9,4,5,0,1,5,1
16,50,50,4,4,4,0,1,4,1
17,50,50,9,4,5,0,1,5,1
18,50,50,4,4,4,0,1,4,1
19,50,50,9,4,5,0,1,5,1
20,50,50,4,4,4,0,1,4,1
21,50,50,9,4,5,0,1,5,1
22,50,50,4,4,4,0,1,4,1
23,50,50,9,4,5,0,1,5,1
24,50,50,4,4,4,0,1,4,1
25,50,50,9,4,5,0,1,5,1
26,50,50,4,4,4,0,1,4,1
27,50,50,9,4,5,0,1,5,1
28,50,50,4,4,4,0,1,4,1
29,50,50,9,4,5,0,1,5,1
30,50,50,4,4,4,0,1,4,1
31,50,50,9,4,5,0,1,5,1
32,50,50,4,4,4,0,1,4,1
33,50,50,9,4,5,0,1,5,1
34,50,50,4,4,4,0,1,4,1
35,50,50,9,4,5,0,1,5,1
36,50,50,4,4,4,0,1,4,1
37,50,50,9,4,5,0,1,5,1
38,50,50,4,4,4,0,1,4,1
39,50,50,9,4,5,0,1,5,1
40,50,50,4,4,4,0,1,4,1
41,50,50,9,4,5,0,1,5,1
42,50,50,4,4,4,0,1,4,1
43,50,50,9,4,5,0,1,5,1
44,50,50,4,4,4,0,1,4,1
45,50,50,9,4,5,0,1,5,1
46,50,50,4,4,4,0,1,4,1
47,50,50,9,4,5,0,1,5,1
48,50,50,4,4,4,0,1,4,1
49,50,50,9,4,5,0,1,5,1
50,50,50,4,4,4,0,1,4,1
51,50,50,9,4,5,0,1,5,1
52,50,50,4,4,4,0,1,4,1
53,50,50,9,4,5,0,1,5,1
54,50,50,4,4,4,0,1,4,1
55,50,50,9,4,5,0,1,5,1
56,50,50,4,4,4,0,1,4,1
57,50,50,9,4,5,0,1,5,1
58,50,50,4,4,4,0,1,4,1
59,50,50,9,4,5,0,1,5,1
60,50,50,4,0,1,0,1,1,1
61,50,50,9,0,5,0,1,5,1
62,50,50,4,0,4,0,1,4,1
63,50,50,9,0,5,0,1,5,1
64,50,50,4,0,4,0,1,4,1
65,50,50,9,0,5,0,1,5,1
66,50,50,9,0,0,1,0,0,0
67,50,50,14,0,5,1,1,5,1
68,50,50,19,0,5,1,1,5,1
69,50,50,14,0,4,1,1,4,1
70,50,50,19,0,5,1,1,5,1
71,50,50,24,0,5,1,1,5,1
72,50,50,29,0,5,1,1,5,1
73,50,50,34,0,5,1,1,5,1
74,50,50,39,0,5,1,1,5,1
75,50,50,44,0,5,1,1,5,1
76,50,50,49,0,5,1,1,5,1
77,50,50,54,0,5,1,1,5,1
78,50,50,59,0,5,1,1,5,1
79,50,50,64,0,5,1,1,5,1
80,50,50,69,0,5,1,1,5,1
81,50,50,74,0,5,1,1,5,1
82,50,50,74,0,2,1,1,2,1
83,50,50,79,0,5,1,1,5,1
84,50,50,84,0,5,1,1,5,1
85,50,50,89,0,5,1,1,5,1
86,50,50,94,0,5,1,1,5,1
87,50,50,99,0,5,1,1,5,1
88,50,50,100,0,5,1,1,5,1
89,50,50,100,0,5,1,1,5,1
90,50,50,100,0,5,1,1,5,1
91,50,50,100,0,5,1,1,5,1
92,50,50,100,0,5,1,1,5,1
93,50,50,100,0,5,1,1,5,1
94,50,50,100,0,5,1,1,5,1
95,50,50,95,0,1,1,1,1,1
96,50,50,95,0,0,2,0,0,0
97,50,50,100,0,5,2,1,5,1
98,50,50,100,0,3,1,2,3,1
99,50,50,100,0,5,1,1,5,1
100,50,50,100,0,5,1,1,5,1
101,50,50,100,0,5,1,1,5,1
102,50,50,100,0,5,1,1,5,1
103,50,50,100,0,5,1,1,5,1
104,50,50,100,0,5,1,1,5,1
105,50,50,95,0,4,1,1,4,1
106,50,50,90,0,1,1,1,1,1
107,50,50,85,0,1,1,1,1,1
108,50,50,80,0,1,1,1,1,1
109,50,50,75,0,1,1,1,1,1
110,50,50,70,0,1,1,1,1,1
111,50,50,65,0,1,1,1,1,1
112,50,50,60,0,1,1,1,1,1
113,50,50,55,0,1,1,1,1,1
114,50,50,50,0,1,1,1,1,1
115,50,50,45,0,1,1,1,1,1
116,50,50,45,0,2,1,1,2,1
117,50,50,40,0,1,1,1,1,1
118,50,50,35,0,1,1,1,1,1
119,50,50,30,0,1,1,1,1,1
120,50,50,30,0,0,2,0,0,0
121,50,50,20,0,1,1,2,1,2
122,50,50,20,0,2,1,1,2,1
123,50,50,25,0,5,1,1,5,1
124,50,50,30,0,3,1,1,3,1
125,50,50,35,0,3,1,1,3,1
126,50,50,40,0,3,1,1,3,1
127,50,50,45,0,3,1,1,3,1
128,50,50,50,0,3,1,1,3,1
129,50,50,50,0,0,2,0,0,0
130,50,50,40,0,1,1,2,1,2
131,50,50,45,0,5,1,1,5,1
132,50,50,45,0,0,2,0,0,0
133,50,50,40,0,1,1,2,1,1
134,50,50,35,0,1,0,2,1,1
135,50,50,40,0,5,0,1,5,1
136,50,50,45,0,5,0,1,5,1
137,50,50,50,0,5,0,1,5,1
138,50,50,45,0,4,0,1,4,1
139,50,50,40,0,4,0,1,4,1
140,50,50,45,0,5,0,1,5,1
141,50,50,40,0,4,0,1,4,1
142,50,50,35,0,4,0,1,4,1
143,50,50,30,0,4,0,1,4,1
144,50,50,25,0,4,0,1,4,1
145,50,50,20,0,4,0,1,4,1
146,50,50,15,0,4,0,1,4,1
147,50,50,10,0,4,0,1,4,1
148,50,50,5,0,4,0,1,4,1
149,50,50,0,0,4,0,1,4,1
150,50,50,0,0,4,0,1,4,1
151,50,50,0,5,6,0,1,6,1
152,50,50,0,5,0,1,0,0,0
153,50,50,0,10,7,1,1,7,1
154,50,50,0,10,0,2,0,0,0
155,50,50,0,5,1,2,1,1,1
156,50,50,0,0,1,1,2,1,2
157,50,50,0,0,4,1,1,4,1
158,50,50,0,0,1,0,2,1,1
159,50,50,0,0,0,1,0,0,0
160,50,50,0,0,1,1,1,1,1
161,50,50,0,0,1,1,1,1,1
162,50,50,0,0,1,1,1,1,1
163,50,50,0,0,1,1,1,1,1
164,50,50,0,0,4,1,1,4,1
165,50,50,0,0,1,0,2,1,1
166,50,50,0,0,0,1,0,0,0
167,50,50,0,0,4,1,1,4,1
168,50,50,0,0,1,0,2,1,1
169,50,50,0,0,4,0,1,4,1
170,50,50,0,0,4,0,1,4,1
171,50,50,0,0,4,0,1,4,1
172,50,50,0,0,4,0,1,4,1
173,50,50,0,0,0,1,0,0,0
174,50,50,0,0,2,0,2,2,1
175,50,50,0,0,4,0,1,4,1
176,50,50,5,5,8,0,1,8,1
177,50,50,0,10,6,0,1,6,1
178,50,50,0,5,1,0,1,1,1
179,50,50,0,5,0,1,0,0,0
180,50,50,0,0,1,1,1,1,1
181,50,50,0,0,1,0,2,1,1
