bar,mouse_x,mouse_y,cat_x,cat_y,vision_slice,brain_energy,output_energy,output_action,move_dist
1,50,50,29,29,0,1,0,0,0
2,50,50,29,24,2,1,1,2,1
3,50,50,24,19,1,1,1,1,1
4,50,50,19,14,1,1,1,1,1
5,50,50,19,14,0,2,0,0,0
6,50,50,19,9,2,2,1,2,1
7,50,50,14,4,1,2,1,1,1
8,50,50,14,0,2,1,2,2,2
9,50,50,14,0,0,2,0,0,0
10,50,50,14,0,0,3,0,0,0
11,50,50,14,0,0,4,0,0,0
12,50,50,9,0,1,4,1,1,1
13,50,50,4,0,1,4,1,1,1
14,50,50,0,0,1,4,1,1,1
15,50,50,0,0,1,3,2,1,2
16,50,50,0,0,1,1,3,1,2
17,50,50,0,0,1,0,2,1,2
18,50,50,0,0,1,0,1,1,1
19,50,50,0,0,0,1,0,0,0
20,50,50,0,0,1,0,2,1,2
21,50,50,0,0,0,1,0,0,0
22,50,50,0,0,1,1,1,1,1
23,50,50,0,0,1,0,2,1,1
24,50,50,0,0,1,0,1,1,1
25,50,50,0,0,1,0,1,1,1
26,50,50,0,0,0,1,0,0,0
27,50,50,0,0,1,0,2,1,1
28,50,50,0,0,1,0,1,1,1
29,50,50,0,0,2,0,1,2,1
30,50,50,0,0,2,0,1,2,1
31,50,50,5,0,5,0,1,5,1
32,50,50,10,0,5,0,1,5,1
33,50,50,15,0,5,0,1,5,1
34,50,50,20,0,5,0,1,5,1
35,50,50,25,0,5,0,1,5,1
36,50,50,30,0,5,0,1,5,1
37,50,50,35,0,5,0,1,5,1
38,50,50,40,0,5,0,1,5,1
39,50,50,45,0,5,0,1,5,1
40,50,50,50,0,5,0,1,5,1
41,50,50,45,0,1,0,1,1,1
42,50,50,50,0,5,0,1,5,1
43,50,50,45,0,1,0,1,1,1
44,50,50,50,0,5,0,1,5,1
45,50,50,45,0,1,0,1,1,1
46,50,50,50,0,5,0,1,5,1
47,50,50,55,0,5,0,1,5,1
48,50,50,50,0,1,0,1,1,1
49,50,50,55,0,5,0,1,5,1
50,50,50,55,0,0,1,0,0,0
51,50,50,55,0,0,2,0,0,0
52,50,50,60,0,3,2,1,3,1
53,50,50,55,0,1,1,2,1,1
54,50,50,50,0,1,1,1,1,1
55,50,50,45,0,1,0,1,1,1
56,50,50,50,0,5,0,1,5,1
57,50,50,55,0,3,0,1,3,1
58,50,50,50,5,6,0,1,6,1
59,50,50,45,0,1,0,1,1,1
60,50,50,50,0,5,0,1,5,1
61,50,50,50,0,0,1,0,0,0
62,50,50,50,0,0,2,0,0,0
63,50,50,45,0,1,1,2,1,1
64,50,50,40,0,4,1,1,4,1
65,50,50,35,0,4,1,1,4,1
66,50,50,30,0,4,1,1,4,1
67,50,50,25,0,4,1,1,4,1
68,50,50,20,0,4,1,1,4,1
69,50,50,15,0,4,1,1,4,1
70,50,50,10,0,4,1,1,4,1
71,50,50,5,0,4,1,1,4,1
72,50,50,0,0,4,1,1,4,1
73,50,50,0,0,4,1,1,4,1
74,50,50,0,0,4,1,1,4,1
75,50,50,0,0,4,1,1,4,1
76,50,50,0,0,4,1,1,4,1
77,50,50,0,0,4,1,1,4,1
78,50,50,0,0,2,1,1,2,1
79,50,50,0,0,4,1,1,4,1
80,50,50,0,0,2,1,1,2,1
81,50,50,0,0,4,1,1,4,1
82,50,50,5,0,3,0,2,3,1
83,50,50,5,0,2,0,1,2,1
84,50,50,0,0,4,0,1,4,1
85,50,50,0,0,4,0,1,4,1
