bar,mouse_x,mouse_y,cat_x,cat_y,vision_slice,brain_energy,output_energy,output_action,move_dist
1,50,50,29,29,0,1,0,0,0
2,50,50,29,29,0,2,0,0,0
3,50,50,24,24,1,2,1,1,1
4,50,50,19,19,1,2,1,1,1
5,50,50,9,9,1,1,2,1,2
6,50,50,4,4,1,1,1,1,1
7,50,50,4,4,0,2,0,0,0
8,50,50,0,0,1,2,1,1,1
9,50,50,0,0,1,1,2,1,1
10,50,50,0,0,1,0,2,1,1
11,50,50,0,0,0,1,0,0,0
12,50,50,0,0,1,0,2,1,1
13,50,50,0,0,4,0,1,4,1
14,50,50,5,0,3,0,1,3,1
15,50,50,0,0,1,0,1,1,1
16,50,50,0,0,0,1,0,0,0
17,50,50,5,0,3,0,2,3,1
18,50,50,10,0,3,0,1,3,1
19,50,50,15,0,3,0,1,3,1
20,50,50,20,0,3,0,1,3,1
21,50,50,25,0,3,0,1,3,1
22,50,50,30,0,5,0,1,5,1
23,50,50,30,0,0,1,0,0,0
24,50,50,25,0,1,1,1,1,1
25,50,50,25,5,7,1,1,7,1
26,50,50,30,5,5,1,1,5,1
27,50,50,25,5,4,1,1,4,1
28,50,50,30,5,5,0,2,5,1
29,50,50,30,10,7,0,1,7,1
30,50,50,30,15,7,0,1,7,1
31,50,50,35,15,5,0,1,5,1
32,50,50,35,20,7,0,1,7,1
33,50,50,35,25,7,0,1,7,1
34,50,50,35,30,7,0,1,7,1
35,50,50,35,35,7,0,1,7,1
36,50,50,35,40,7,0,1,7,1
37,50,50,40,35,3,0,1,3,1
38,50,50,40,40,7,0,1,7,1
39,50,50,40,45,7,0,1,7,1
40,50,50,40,40,2,0,1,2,1
41,50,50,40,45,7,0,1,7,1
42,50,50,45,40,3,0,1,3,1
43,50,50,45,45,7,0,1,7,1
44,50,50,50,45,5,0,1,5,1
45,50,50,50,45,0,1,0,0,0
46,50,50,60,35,3,0,2,3,2
47,50,50,60,35,0,1,0,0,0
48,50,50,65,30,3,1,1,3,1
49,50,50,70,30,5,1,1,5,1
50,50,50,80,30,5,0,2,5,2
51,50,50,80,35,7,0,1,7,1
52,50,50,80,40,7,0,1,7,1
53,50,50,80,45,7,0,1,7,1
54,50,50,80,50,7,0,1,7,1
55,50,50,80,50,0,1,0,0,0
56,50,50,80,55,7,1,1,7,1
57,50,50,80,65,7,0,2,7,2
58,50,50,85,65,5,0,1,5,1
59,50,50,85,65,0,1,0,0,0
60,50,50,90,60,3,0,2,3,1
61,50,50,95,60,5,0,1,5,1
62,50,50,90,60,4,0,1,4,1
63,50,50,95,60,5,0,1,5,1
64,50,50,95,60,0,1,0,0,0
65,50,50,100,60,5,0,2,5,1
66,50,50,95,60,4,0,1,4,1
67,50,50,95,60,0,1,0,0,0
68,50,50,90,60,4,0,2,4,1
69,50,50,90,60,0,1,0,0,0
70,50,50,85,55,1,0,2,1,1
71,50,50,90,55,5,0,1,5,1
72,50,50,85,55,4,0,1,4,1
73,50,50,80,55,4,0,1,4,1
74,50,50,75,55,4,0,1,4,1
75,50,50,70,55,4,0,1,4,1
76,50,50,65,55,4,0,1,4,1
77,50,50,60,55,4,0,1,4,1
78,50,50,55,55,4,0,1,4,1
79,50,50,50,55,4,0,1,4,1
80,50,50,45,55,4,0,1,4,1
81,50,50,45,60,7,0,1,7,1
82,50,50,40,60,4,0,1,4,1
83,50,50,40,60,0,1,0,0,0
84,50,50,40,65,7,1,1,7,1
85,50,50,35,65,4,0,2,4,1
86,50,50,35,70,7,0,1,7,1
87,50,50,40,75,8,0,1,8,1
88,50,50,35,75,4,0,1,4,1
89,50,50,30,75,4,0,1,4,1
90,50,50,35,75,5,0,1,5,1
91,50,50,30,75,4,0,1,4,1
92,50,50,35,75,5,0,1,5,1
93,50,50,40,75,5,0,1,5,1
94,50,50,45,75,5,0,1,5,1
95,50,50,50,75,5,0,1,5,1
96,50,50,55,75,5,0,1,5,1
97,50,50,60,75,5,0,1,5,1
98,50,50,65,75,5,0,1,5,1
99,50,50,70,75,5,0,1,5,1
100,50,50,70,75,0,1,0,0,0
101,50,50,70,80,7,0,2,7,1
102,50,50,75,80,5,0,1,5,1
103,50,50,75,80,0,1,0,0,0
104,50,50,80,80,5,1,1,5,1
105,50,50,75,80,4,1,1,4,1
106,50,50,70,80,4,1,1,4,1
107,50,50,65,80,4,1,1,4,1
108,50,50,60,80,4,1,1,4,1
109,50,50,55,80,4,1,1,4,1
110,50,50,50,80,4,1,1,4,1
111,50,50,45,80,4,1,1,4,1
112,50,50,40,80,4,1,1,4,1
113,50,50,35,80,4,1,1,4,1
114,50,50,30,80,4,1,1,4,1
115,50,50,25,80,4,0,2,4,1
116,50,50,25,80,0,1,0,0,0
117,50,50,30,80,5,1,1,5,1
118,50,50,25,80,4,1,1,4,1
119,50,50,20,85,6,1,1,6,1
120,50,50,25,85,5,1,1,5,1
121,50,50,25,90,7,1,1,7,1
122,50,50,30,90,5,1,1,5,1
123,50,50,35,90,5,0,2,5,1
124,50,50,40,90,5,0,1,5,1
125,50,50,45,90,5,0,1,5,1
126,50,50,50,90,5,0,1,5,1
127,50,50,55,90,5,0,1,5,1
128,50,50,60,90,5,0,1,5,1
129,50,50,65,90,5,0,1,5,1
130,50,50,70,90,5,0,1,5,1
131,50,50,75,90,5,0,1,5,1
132,50,50,80,90,5,0,1,5,1
133,50,50,80,90,0,1,0,0,0
134,50,50,80,90,0,2,0,0,0
135,50,50,85,90,5,2,1,5,1
136,50,50,90,90,5,2,1,5,1
137,50,50,95,95,8,2,1,8,1
138,50,50,95,100,7,2,1,7,1
139,50,50,95,100,7,0,3,7,2
140,50,50,90,100,4,0,1,4,1
141,50,50,85,100,4,0,1,4,1
142,50,50,80,100,4,0,1,4,1
143,50,50,75,100,4,0,1,4,1
144,50,50,70,100,4,0,1,4,1
145,50,50,65,100,4,0,1,4,1
146,50,50,60,100,4,0,1,4,1
147,50,50,55,100,4,0,1,4,1
148,50,50,50,100,4,0,1,4,1
149,50,50,45,100,4,0,1,4,1
150,50,50,40,100,4,0,1,4,1
151,50,50,35,100,4,0,1,4,1
152,50,50,30,100,4,0,1,4,1
153,50,50,25,100,4,0,1,4,1
154,50,50,25,100,0,1,0,0,0
155,50,50,20,100,4,0,2,4,1
156,50,50,15,100,4,0,1,4,1
157,50,50,20,100,8,0,1,8,1
158,50,50,15,100,4,0,1,4,1
159,50,50,15,100,7,0,1,7,1
160,50,50,10,100,4,0,1,4,1
161,50,50,10,100,0,1,0,0,0
162,50,50,10,100,0,2,0,0,0
163,50,50,10,100,0,3,0,0,0
164,50,50,10,100,7,2,2,7,2
165,50,50,5,100,4,1,2,4,1
166,50,50,5,100,0,2,0,0,0
167,50,50,5,100,7,2,1,7,1
168,50,50,5,100,0,3,0,0,0
169,50,50,5,100,0,3,0,0,0
170,50,50,10,95,3,2,2,3,1
171,50,50,15,90,3,2,1,3,1
172,50,50,15,90,0,3,0,0,0
173,50,50,10,95,6,2,2,6,1
174,50,50,15,90,3,0,3,3,1
175,50,50,20,90,5,0,1,5,1
176,50,50,20,90,0,1,0,0,0
177,50,50,15,95,6,1,1,6,1
178,50,50,10,100,6,1,1,6,1
179,50,50,15,100,5,1,1,5,1
180,50,50,20,100,5,1,1,5,1
181,50,50,20,100,0,2,0,0,0
182,50,50,25,100,5,1,2,5,1
183,50,50,30,100,5,1,1,5,1
184,50,50,35,100,5,1,1,5,1
185,50,50,40,100,5,1,1,5,1
186,50,50,45,100,5,1,1,5,1
187,50,50,50,100,5,1,1,5,1
188,50,50,55,100,5,1,1,5,1
189,50,50,60,100,5,1,1,5,1
190,50,50,65,100,5,1,1,5,1
191,50,50,70,100,5,1,1,5,1
192,50,50,75,100,5,1,1,5,1
193,50,50,80,100,5,1,1,5,1
194,50,50,85,100,5,1,1,5,1
195,50,50,90,100,5,1,1,5,1
196,50,50,85,100,6,1,1,6,1
197,50,50,90,100,5,1,1,5,1
198,50,50,85,100,4,1,1,4,1
199,50,50,90,100,5,1,1,5,1
200,50,50,95,100,5,1,1,5,1
201,50,50,95,95,2,0,2,2,1
202,50,50,100,95,5,0,1,5,1
203,50,50,100,95,0,1,0,0,0
204,50,50,90,100,6,0,2,6,2
205,50,50,95,100,5,0,1,5,1
206,50,50,95,100,7,0,1,7,1
207,50,50,95,100,0,1,0,0,0
208,50,50,90,100,4,0,2,4,1
209,50,50,90,100,0,1,0,0,0
210,50,50,95,100,5,0,2,5,1
211,50,50,90,100,4,0,1,4,1
212,50,50,95,100,5,0,1,5,1
213,50,50,95,100,0,1,0,0,0
214,50,50,100,95,3,1,1,3,1
215,50,50,95,95,4,0,2,4,1
216,50,50,90,95,4,0,1,4,1
217,50,50,85,95,4,0,1,4,1
218,50,50,80,95,4,0,1,4,1
219,50,50,75,95,4,0,1,4,1
220,50,50,70,95,4,0,1,4,1
221,50,50,65,95,4,0,1,4,1
222,50,50,60,95,4,0,1,4,1
223,50,50,55,95,4,0,1,4,1
224,50,50,50,95,4,0,1,4,1
225,50,50,45,95,4,0,1,4,1
226,50,50,40,95,4,0,1,4,1
227,50,50,35,95,4,0,1,4,1
228,50,50,30,95,4,0,1,4,1
229,50,50,25,95,4,0,1,4,1
230,50,50,30,95,5,0,1,5,1
231,50,50,30,95,0,1,0,0,0
232,50,50,35,95,5,0,2,5,1
233,50,50,30,95,4,0,1,4,1
234,50,50,35,95,5,0,1,5,1
235,50,50,40,95,5,0,1,5,1
236,50,50,45,95,5,0,1,5,1
237,50,50,50,95,5,0,1,5,1
238,50,50,55,95,5,0,1,5,1
239,50,50,60,95,5,0,1,5,1
240,50,50,65,95,5,0,1,5,1
241,50,50,70,95,5,0,1,5,1
242,50,50,75,95,5,0,1,5,1
243,50,50,70,95,4,0,1,4,1
244,50,50,75,90,3,0,1,3,1
245,50,50,80,90,5,0,1,5,1
246,50,50,85,85,3,0,1,3,1
247,50,50,90,80,3,0,1,3,1
248,50,50,95,75,3,0,1,3,1
249,50,50,90,80,6,0,1,6,1
250,50,50,85,85,6,0,1,6,1
251,50,50,80,90,6,0,1,6,1
252,50,50,75,95,6,0,1,6,1
253,50,50,70,100,6,0,1,6,1
254,50,50,65,100,6,0,1,6,1
255,50,50,65,100,7,0,1,7,1
256,50,50,65,100,0,1,0,0,0
257,50,50,65,100,7,0,2,7,1
258,50,50,65,100,0,1,0,0,0
259,50,50,65,100,0,2,0,0,0
260,50,50,70,100,5,2,1,5,1
261,50,50,80,100,5,0,3,5,2
262,50,50,75,100,4,0,1,4,1
263,50,50,80,100,5,0,1,5,1
264,50,50,80,100,7,0,1,7,1
265,50,50,75,100,6,0,1,6,1
266,50,50,80,100,5,0,1,5,1
267,50,50,85,100,5,0,1,5,1
268,50,50,85,100,0,1,0,0,0
269,50,50,85,100,0,2,0,0,0
270,50,50,80,100,4,0,3,4,1
271,50,50,85,100,5,0,1,5,1
272,50,50,90,100,5,0,1,5,1
273,50,50,90,100,0,1,0,0,0
274,50,50,90,100,7,0,2,7,2
275,50,50,90,100,7,0,1,7,1
276,50,50,85,100,6,0,1,6,1
277,50,50,90,100,5,0,1,5,1
278,50,50,90,100,0,1,0,0,0
279,50,50,90,95,2,0,2,2,1
280,50,50,95,90,3,0,1,3,1
281,50,50,100,95,8,0,1,8,1
282,50,50,100,100,7,0,1,7,1
283,50,50,100,100,0,1,0,0,0
284,50,50,95,100,4,0,2,4,1
285,50,50,90,100,4,0,1,4,1
286,50,50,85,100,4,0,1,4,1
287,50,50,80,100,4,0,1,4,1
288,50,50,75,100,4,0,1,4,1
289,50,50,70,100,4,0,1,4,1
290,50,50,65,100,4,0,1,4,1
291,50,50,60,100,4,0,1,4,1
292,50,50,55,100,4,0,1,4,1
293,50,50,50,100,4,0,1,4,1
294,50,50,45,100,4,0,1,4,1
295,50,50,40,100,6,0,1,6,1
296,50,50,35,100,6,0,1,6,1
297,50,50,30,100,6,0,1,6,1
298,50,50,25,100,4,0,1,4,1
299,50,50,25,100,7,0,1,7,1
300,50,50,20,100,6,0,1,6,1
301,50,50,20,100,0,1,0,0,0
302,50,50,15,100,6,1,1,6,1
303,50,50,25,100,5,0,2,5,2
304,50,50,20,100,6,0,1,6,1
305,50,50,25,100,5,0,1,5,1
306,50,50,30,100,5,0,1,5,1
307,50,50,35,100,5,0,1,5,1
308,50,50,40,100,5,0,1,5,1
309,50,50,45,100,5,0,1,5,1
310,50,50,50,100,5,0,1,5,1
311,50,50,55,100,5,0,1,5,1
312,50,50,50,100,4,0,1,4,1
313,50,50,55,100,5,0,1,5,1
314,50,50,50,100,4,0,1,4,1
315,50,50,55,100,5,0,1,5,1
316,50,50,50,100,4,0,1,4,1
317,50,50,55,100,5,0,1,5,1
318,50,50,50,100,4,0,1,4,1
319,50,50,55,100,5,0,1,5,1
320,50,50,50,100,4,0,1,4,1
321,50,50,55,100,5,0,1,5,1
322,50,50,50,100,4,0,1,4,1
323,50,50,55,100,5,0,1,5,1
324,50,50,50,100,4,0,1,4,1
325,50,50,55,100,5,0,1,5,1
326,50,50,50,100,4,0,1,4,1
327,50,50,55,100,5,0,1,5,1
328,50,50,50,100,4,0,1,4,1
329,50,50,55,100,5,0,1,5,1
330,50,50,50,100,4,0,1,4,1
331,50,50,55,100,5,0,1,5,1
332,50,50,50,100,4,0,1,4,1
333,50,50,55,100,5,0,1,5,1
334,50,50,50,100,4,0,1,4,1
335,50,50,55,100,5,0,1,5,1
336,50,50,50,100,4,0,1,4,1
337,50,50,55,100,5,0,1,5,1
338,50,50,50,100,4,0,1,4,1
339,50,50,55,100,5,0,1,5,1
340,50,50,50,100,4,0,1,4,1
341,50,50,55,100,5,0,1,5,1
342,50,50,50,100,4,0,1,4,1
343,50,50,55,100,5,0,1,5,1
344,50,50,50,100,4,0,1,4,1
345,50,50,55,100,5,0,1,5,1
346,50,50,50,100,4,0,1,4,1
347,50,50,55,100,5,0,1,5,1
348,50,50,50,100,4,0,1,4,1
349,50,50,55,100,5,0,1,5,1
350,50,50,50,100,4,0,1,4,1
351,50,50,55,100,5,0,1,5,1
352,50,50,50,100,4,0,1,4,1
353,50,50,55,100,5,0,1,5,1
354,50,50,50,100,4,0,1,4,1
355,50,50,55,100,5,0,1,5,1
356,50,50,50,100,4,0,1,4,1
357,50,50,55,100,5,0,1,5,1
358,50,50,50,100,4,0,1,4,1
359,50,50,55,100,5,0,1,5,1
360,50,50,50,100,4,0,1,4,1
361,50,50,55,100,5,0,1,5,1
362,50,50,50,100,4,0,1,4,1
363,50,50,55,100,5,0,1,5,1
364,50,50,50,100,4,0,1,4,1
365,50,50,55,100,5,0,1,5,1
366,50,50,50,100,4,0,1,4,1
367,50,50,55,100,5,0,1,5,1
368,50,50,50,100,4,0,1,4,1
369,50,50,55,100,5,0,1,5,1
370,50,50,50,100,4,0,1,4,1
371,50,50,55,100,5,0,1,5,1
372,50,50,50,100,4,0,1,4,1
373,50,50,55,100,5,0,1,5,1
374,50,50,50,100,4,0,1,4,1
375,50,50,55,100,5,0,1,5,1
376,50,50,50,100,4,0,1,4,1
377,50,50,55,100,5,0,1,5,1
378,50,50,50,100,4,0,1,4,1
379,50,50,55,100,5,0,1,5,1
380,50,50,50,100,4,0,1,4,1
381,50,50,55,100,5,0,1,5,1
382,50,50,50,100,4,0,1,4,1
383,50,50,55,100,5,0,1,5,1
384,50,50,50,100,4,0,1,4,1
385,50,50,55,100,5,0,1,5,1
386,50,50,50,100,4,0,1,4,1
387,50,50,55,100,5,0,1,5,1
388,50,50,50,100,4,0,1,4,1
389,50,50,55,100,5,0,1,5,1
390,50,50,50,100,4,0,1,4,1
391,50,50,55,100,5,0,1,5,1
392,50,50,50,100,4,0,1,4,1
393,50,50,55,100,5,0,1,5,1
394,50,50,50,100,4,0,1,4,1
395,50,50,55,100,5,0,1,5,1
396,50,50,50,100,4,0,1,4,1
397,50,50,55,100,5,0,1,5,1
398,50,50,55,100,7,0,1,7,1
399,50,50,50,100,4,0,1,4,1
400,50,50,55,100,5,0,1,5,1
401,50,50,50,100,4,0,1,4,1
402,50,50,55,100,5,0,1,5,1
403,50,50,50,100,4,0,1,4,1
404,50,50,55,100,5,0,1,5,1
405,50,50,50,100,4,0,1,4,1
406,50,50,55,100,5,0,1,5,1
407,50,50,50,100,4,0,1,4,1
408,50,50,55,100,5,0,1,5,1
409,50,50,50,100,4,0,1,4,1
410,50,50,55,100,5,0,1,5,1
411,50,50,50,100,4,0,1,4,1
412,50,50,55,100,5,0,1,5,1
413,50,50,50,100,4,0,1,4,1
414,50,50,55,100,5,0,1,5,1
415,50,50,50,100,4,0,1,4,1
416,50,50,55,100,5,0,1,5,1
417,50,50,50,100,4,0,1,4,1
418,50,50,55,100,5,0,1,5,1
419,50,50,50,100,4,0,1,4,1
420,50,50,55,100,5,0,1,5,1
421,50,50,50,100,4,0,1,4,1
422,50,50,55,100,5,0,1,5,1
423,50,50,50,100,4,0,1,4,1
424,50,50,55,100,5,0,1,5,1
425,50,50,50,100,4,0,1,4,1
426,50,50,55,100,5,0,1,5,1
427,50,50,50,100,4,0,1,4,1
428,50,50,55,100,5,0,1,5,1
429,50,50,50,100,4,0,1,4,1
430,50,50,55,100,5,0,1,5,1
431,50,50,50,100,4,0,1,4,1
432,50,50,55,100,5,0,1,5,1
433,50,50,50,100,4,0,1,4,1
434,50,50,55,100,5,0,1,5,1
435,50,50,50,100,4,0,1,4,1
436,50,50,55,100,5,0,1,5,1
437,50,50,50,100,4,0,1,4,1
438,50,50,55,100,5,0,1,5,1
439,50,50,50,100,4,0,1,4,1
440,50,50,55,100,5,0,1,5,1
441,50,50,50,100,4,0,1,4,1
442,50,50,55,100,5,0,1,5,1
443,50,50,50,100,4,0,1,4,1
444,50,50,55,100,5,0,1,5,1
445,50,50,50,100,4,0,1,4,1
446,50,50,55,100,5,0,1,5,1
447,50,50,50,100,4,0,1,4,1
448,50,50,55,100,5,0,1,5,1
449,50,50,50,100,4,0,1,4,1
450,50,50,55,100,5,0,1,5,1
451,50,50,50,100,4,0,1,4,1
452,50,50,55,100,5,0,1,5,1
453,50,50,50,100,4,0,1,4,1
454,50,50,55,100,5,0,1,5,1
455,50,50,50,100,4,0,1,4,1
456,50,50,55,100,5,0,1,5,1
457,50,50,50,100,4,0,1,4,1
458,50,50,55,100,5,0,1,5,1
459,50,50,50,100,4,0,1,4,1
460,50,50,55,100,5,0,1,5,1
461,50,50,50,100,4,0,1,4,1
462,50,50,55,100,5,0,1,5,1
463,50,50,50,100,4,0,1,4,1
464,50,50,55,100,5,0,1,5,1
465,50,50,50,100,4,0,1,4,1
466,50,50,55,100,5,0,1,5,1
467,50,50,50,100,4,0,1,4,1
468,50,50,55,100,5,0,1,5,1
469,50,50,50,100,4,0,1,4,1
470,50,50,55,100,5,0,1,5,1
471,50,50,50,100,4,0,1,4,1
472,50,50,55,100,5,0,1,5,1
473,50,50,50,100,4,0,1,4,1
474,50,50,55,100,5,0,1,5,1
475,50,50,50,100,4,0,1,4,1
476,50,50,55,100,5,0,1,5,1
477,50,50,50,100,4,0,1,4,1
478,50,50,55,100,5,0,1,5,1
479,50,50,50,100,4,0,1,4,1
480,50,50,55,100,5,0,1,5,1
481,50,50,50,100,4,0,1,4,1
482,50,50,55,100,5,0,1,5,1
483,50,50,50,100,4,0,1,4,1
484,50,50,55,100,5,0,1,5,1
485,50,50,50,100,4,0,1,4,1
486,50,50,55,100,5,0,1,5,1
487,50,50,50,100,4,0,1,4,1
488,50,50,55,100,5,0,1,5,1
489,50,50,50,100,4,0,1,4,1
490,50,50,55,100,5,0,1,5,1
491,50,50,50,100,4,0,1,4,1
492,50,50,55,100,5,0,1,5,1
493,50,50,50,100,4,0,1,4,1
494,50,50,55,100,5,0,1,5,1
495,50,50,50,100,4,0,1,4,1
496,50,50,55,100,5,0,1,5,1
497,50,50,50,100,4,0,1,4,1
498,50,50,50,100,0,1,0,0,0
499,50,50,60,100,5,0,2,5,2
500,50,50,55,100,4,0,1,4,1
501,50,50,50,100,4,0,1,4,1
502,50,50,55,100,5,0,1,5,1
503,50,50,50,100,4,0,1,4,1
504,50,50,55,100,5,0,1,5,1
505,50,50,50,100,4,0,1,4,1
506,50,50,55,100,5,0,1,5,1
507,50,50,50,100,4,0,1,4,1
508,50,50,50,100,7,0,1,7,1
509,50,50,55,100,5,0,1,5,1
510,50,50,50,100,4,0,1,4,1
511,50,50,55,100,5,0,1,5,1
512,50,50,50,100,4,0,1,4,1
513,50,50,55,100,5,0,1,5,1
514,50,50,50,100,4,0,1,4,1
515,50,50,55,100,5,0,1,5,1
516,50,50,50,100,4,0,1,4,1
517,50,50,55,100,5,0,1,5,1
518,50,50,50,100,4,0,1,4,1
519,50,50,55,100,5,0,1,5,1
520,50,50,50,100,4,0,1,4,1
521,50,50,55,100,5,0,1,5,1
522,50,50,50,100,4,0,1,4,1
523,50,50,55,100,5,0,1,5,1
524,50,50,50,100,4,0,1,4,1
525,50,50,55,100,5,0,1,5,1
526,50,50,50,100,4,0,1,4,1
527,50,50,55,100,5,0,1,5,1
528,50,50,50,100,4,0,1,4,1
529,50,50,55,100,5,0,1,5,1
530,50,50,50,100,4,0,1,4,1
531,50,50,55,100,5,0,1,5,1
532,50,50,50,100,4,0,1,4,1
533,50,50,55,100,5,0,1,5,1
534,50,50,50,100,4,0,1,4,1
535,50,50,55,100,5,0,1,5,1
536,50,50,50,100,4,0,1,4,1
537,50,50,55,100,5,0,1,5,1
538,50,50,50,100,4,0,1,4,1
539,50,50,55,100,5,0,1,5,1
540,50,50,50,100,4,0,1,4,1
541,50,50,55,100,5,0,1,5,1
542,50,50,50,100,4,0,1,4,1
543,50,50,55,100,5,0,1,5,1
544,50,50,50,100,4,0,1,4,1
545,50,50,55,100,5,0,1,5,1
546,50,50,50,100,4,0,1,4,1
547,50,50,55,100,5,0,1,5,1
548,50,50,50,100,4,0,1,4,1
549,50,50,55,100,5,0,1,5,1
550,50,50,50,100,4,0,1,4,1
551,50,50,55,100,5,0,1,5,1
552,50,50,50,100,4,0,1,4,1
553,50,50,55,100,5,0,1,5,1
554,50,50,50,100,4,0,1,4,1
555,50,50,55,100,5,0,1,5,1
556,50,50,50,100,4,0,1,4,1
557,50,50,55,100,5,0,1,5,1
558,50,50,50,100,4,0,1,4,1
559,50,50,55,100,5,0,1,5,1
560,50,50,50,100,4,0,1,4,1
561,50,50,55,100,5,0,1,5,1
562,50,50,50,100,4,0,1,4,1
563,50,50,55,100,5,0,1,5,1
564,50,50,50,100,4,0,1,4,1
565,50,50,55,100,5,0,1,5,1
566,50,50,50,100,4,0,1,4,1
567,50,50,55,100,5,0,1,5,1
568,50,50,50,100,4,0,1,4,1
569,50,50,55,100,5,0,1,5,1
570,50,50,50,100,4,0,1,4,1
571,50,50,50,100,0,1,0,0,0
572,50,50,55,100,5,0,2,5,1
573,50,50,50,100,4,0,1,4,1
574,50,50,55,100,5,0,1,5,1
575,50,50,50,100,4,0,1,4,1
576,50,50,50,100,0,1,0,0,0
577,50,50,60,100,5,0,2,5,2
578,50,50,55,100,4,0,1,4,1
579,50,50,50,100,4,0,1,4,1
580,50,50,55,100,5,0,1,5,1
581,50,50,50,100,4,0,1,4,1
582,50,50,55,100,5,0,1,5,1
583,50,50,50,100,4,0,1,4,1
584,50,50,55,100,5,0,1,5,1
585,50,50,50,100,4,0,1,4,1
586,50,50,55,100,5,0,1,5,1
587,50,50,50,100,4,0,1,4,1
588,50,50,55,100,5,0,1,5,1
589,50,50,50,100,4,0,1,4,1
590,50,50,55,100,5,0,1,5,1
591,50,50,50,100,4,0,1,4,1
592,50,50,55,100,5,0,1,5,1
593,50,50,50,100,4,0,1,4,1
594,50,50,55,100,5,0,1,5,1
595,50,50,50,100,4,0,1,4,1
596,50,50,55,100,5,0,1,5,1
597,50,50,50,100,4,0,1,4,1
598,50,50,55,100,5,0,1,5,1
599,50,50,50,100,4,0,1,4,1
600,50,50,55,100,5,0,1,5,1
601,50,50,50,100,4,0,1,4,1
602,50,50,55,100,5,0,1,5,1
603,50,50,50,100,4,0,1,4,1
604,50,50,50,100,0,1,0,0,0
605,50,50,60,100,5,0,2,5,2
606,50,50,55,100,4,0,1,4,1
607,50,50,50,100,4,0,1,4,1
608,50,50,55,100,5,0,1,5,1
609,50,50,50,100,4,0,1,4,1
610,50,50,55,100,5,0,1,5,1
611,50,50,50,100,4,0,1,4,1
612,50,50,55,100,5,0,1,5,1
613,50,50,50,100,4,0,1,4,1
614,50,50,55,100,5,0,1,5,1
615,50,50,50,100,4,0,1,4,1
616,50,50,55,100,5,0,1,5,1
617,50,50,50,100,4,0,1,4,1
618,50,50,55,100,5,0,1,5,1
619,50,50,50,100,4,0,1,4,1
620,50,50,55,100,5,0,1,5,1
621,50,50,50,100,4,0,1,4,1
622,50,50,55,100,5,0,1,5,1
623,50,50,50,100,4,0,1,4,1
624,50,50,55,100,5,0,1,5,1
625,50,50,50,100,4,0,1,4,1
626,50,50,55,100,5,0,1,5,1
627,50,50,50,100,4,0,1,4,1
628,50,50,55,100,5,0,1,5,1
629,50,50,50,100,4,0,1,4,1
630,50,50,55,100,5,0,1,5,1
631,50,50,50,100,4,0,1,4,1
632,50,50,50,100,0,1,0,0,0
633,50,50,55,100,5,0,2,5,1
634,50,50,50,100,4,0,1,4,1
635,50,50,55,100,5,0,1,5,1
636,50,50,50,100,4,0,1,4,1
637,50,50,55,100,5,0,1,5,1
638,50,50,50,100,4,0,1,4,1
639,50,50,50,100,7,0,1,7,1
640,50,50,55,100,5,0,1,5,1
641,50,50,50,100,4,0,1,4,1
642,50,50,55,100,5,0,1,5,1
643,50,50,50,100,4,0,1,4,1
644,50,50,50,100,0,1,0,0,0
645,50,50,50,100,0,2,0,0,0
646,50,50,50,100,0,3,0,0,0
647,50,50,55,100,8,3,1,8,1
648,50,50,50,100,4,2,2,4,1
649,50,50,55,100,8,2,1,8,1
650,50,50,50,100,4,1,2,4,1
651,50,50,55,100,5,1,1,5,1
652,50,50,50,100,4,0,2,4,1
653,50,50,55,100,5,0,1,5,1
654,50,50,50,100,4,0,1,4,1
655,50,50,50,100,0,1,0,0,0
656,50,50,55,100,5,1,1,5,1
657,50,50,50,100,4,1,1,4,1
658,50,50,55,100,8,1,1,8,1
659,50,50,50,100,4,1,1,4,1
660,50,50,55,100,5,1,1,5,1
661,50,50,50,100,4,1,1,4,1
662,50,50,55,100,5,1,1,5,1
663,50,50,50,100,4,1,1,4,1
664,50,50,55,100,5,1,1,5,1
665,50,50,50,100,4,1,1,4,1
