bar,mouse_x,mouse_y,cat_x,cat_y,vision_slice,brain_energy,output_energy,output_action,move_dist
158,31,50,0,0,1,5,1,1,1
159,27,46,0,0,1,5,1,1,1
160,26,51,0,0,1,5,1,1,1
161,29,55,0,0,1,5,1,1,1
162,27,50,0,0,1,5,1,1,1
163,27,45,0,0,1,5,1,1,1
164,27,50,0,0,1,5,1,1,1
165,32,48,0,0,1,5,1,1,1
166,29,53,0,0,1,5,1,1,1
167,27,57,0,0,1,5,1,1,1
168,29,52,0,0,1,5,1,1,1
169,24,50,0,0,1,5,1,1,1
170,23,45,0,0,1,5,1,1,1
171,25,41,0,0,1,5,1,1,1
172,20,42,0,0,1,5,1,1,1
173,16,43,0,0,1,5,1,1,1
174,16,48,0,0,1,5,1,1,1
175,16,53,0,0,1,5,1,1,1
176,15,58,0,0,1,5,1,1,1
177,13,54,0,0,1,5,1,1,1
178,10,58,0,0,1,5,1,1,1
179,8,62,0,0,1,5,1,1,1
180,4,64,0,0,1,5,1,1,1
181,5,59,0,0,1,5,1,1,1
182,9,57,0,0,1,5,1,1,1
183,13,60,0,0,1,5,1,1,1
184,8,59,0,0,1,5,1,1,1
185,5,55,0,0,1,5,1,1,1
186,4,50,0,0,1,5,1,1,1
187,2,55,0,0,1,5,1,1,1
188,5,51,0,0,1,5,1,1,1
189,5,56,0,0,1,5,1,1,1
190,8,53,0,0,1,5,1,1,1
191,4,55,0,0,1,5,1,1,1
192,100,57,0,0,1,5,1,1,1
193,3,53,0,0,1,5,1,1,1
194,2,58,0,0,1,5,1,1,1
195,5,62,0,0,1,5,1,1,1
196,10,63,0,0,1,5,1,1,1
197,6,67,0,0,1,5,1,1,1
198,10,64,0,0,1,5,1,1,1
199,14,61,0,0,1,5,1,1,1
200,19,61,0,0,1,5,1,1,1
201,18,66,0,0,1,5,1,1,1
202,18,61,0,0,1,5,1,1,1
203,18,56,0,0,1,5,1,1,1
204,22,59,0,0,1,5,1,1,1
205,19,63,0,0,1,5,1,1,1
206,16,59,0,0,1,5,1,1,1
207,20,62,0,0,1,5,1,1,1
208,25,62,0,0,1,5,1,1,1
209,20,62,0,0,1,5,1,1,1
210,20,57,0,0,1,5,1,1,1
211,18,53,0,0,1,5,1,1,1
212,20,57,0,0,1,5,1,1,1
213,25,59,0,0,1,5,1,1,1
214,29,61,0,0,1,5,1,1,1
215,24,61,0,0,1,5,1,1,1
216,22,66,0,0,1,5,1,1,1
217,27,64,0,0,1,5,1,1,1
218,31,61,0,0,1,5,1,1,1
219,33,66,0,0,1,5,1,1,1
220,31,70,0,0,1,5,1,1,1
221,34,66,0,0,1,5,1,1,1
222,36,70,0,0,1,5,1,1,1
223,33,66,0,0,1,5,1,1,1
224,36,62,0,0,1,5,1,1,1
225,41,61,0,0,1,5,1,1,1
226,38,56,0,0,1,5,1,1,1
227,43,57,0,0,1,5,1,1,1
228,44,62,0,0,1,5,1,1,1
229,49,62,0,0,1,5,1,1,1
230,54,60,0,0,1,5,1,1,1
231,52,64,0,0,1,5,1,1,1
232,51,59,0,0,1,5,1,1,1
233,56,57,0,0,1,5,1,1,1
234,52,54,0,0,1,5,1,1,1
235,49,50,0,0,1,5,1,1,1
236,52,45,0,0,1,5,1,1,1
237,48,48,0,0,1,5,1,1,1
238,43,49,0,0,1,5,1,1,1
239,48,50,0,0,1,5,1,1,1
240,50,55,0,0,1,5,1,1,1
241,46,58,0,0,1,5,1,1,1
242,45,63,0,0,1,5,1,1,1
243,44,68,0,0,1,5,1,1,1
244,47,64,0,0,1,5,1,1,1
245,43,62,0,0,1,5,1,1,1
246,41,67,0,0,1,5,1,1,1
247,37,64,0,0,1,5,1,1,1
248,42,61,0,0,1,5,1,1,1
249,37,63,0,0,1,5,1,1,1
250,40,59,0,0,1,5,1,1,1
251,45,59,0,0,1,5,1,1,1
252,44,64,0,0,1,5,1,1,1
253,44,69,0,0,1,5,1,1,1
254,44,74,0,0,1,5,1,1,1
255,40,70,0,0,1,5,1,1,1
256,45,72,0,0,1,5,1,1,1
257,48,68,0,0,1,5,1,1,1
258,52,65,0,0,1,5,1,1,1
259,50,61,0,0,1,5,1,1,1
260,50,56,0,0,1,5,1,1,1
261,55,57,0,0,1,5,1,1,1
262,50,56,0,0,1,5,1,1,1
263,45,56,0,0,1,5,1,1,1
264,42,52,0,0,1,5,1,1,1
265,38,53,0,0,1,5,1,1,1
266,36,48,0,0,1,5,1,1,1
267,36,43,0,0,1,5,1,1,1
268,33,39,0,0,1,5,1,1,1
269,37,35,0,0,1,5,1,1,1
270,34,31,0,0,1,5,1,1,1
271,36,35,0,0,1,5,1,1,1
272,34,40,0,0,1,5,1,1,1
273,33,45,0,0,1,5,1,1,1
274,31,49,0,0,1,5,1,1,1
275,28,54,0,0,1,5,1,1,1
276,25,50,0,0,1,5,1,1,1
277,29,53,0,0,1,5,1,1,1
278,24,53,0,0,1,5,1,1,1
279,21,50,0,0,1,5,1,1,1
280,22,54,0,0,1,5,1,1,1
281,25,51,0,0,1,5,1,1,1
282,20,51,0,0,1,5,1,1,1
283,25,52,0,0,1,5,1,1,1
284,27,57,0,0,1,5,1,1,1
285,26,52,0,0,1,5,1,1,1
286,28,56,0,0,1,5,1,1,1
287,28,61,0,0,1,5,1,1,1
